,precision,recall,f1-score,support
angry,0.5117370892018779,0.4551148225469729,0.481767955801105,958.0
disgust,0.7142857142857143,0.04504504504504504,0.0847457627118644,111.0
fear,0.4831223628691983,0.2236328125,0.30574098798397864,1024.0
happy,0.7742424242424243,0.8641488162344984,0.8167288225892382,1774.0
neutral,0.47799097065462753,0.6869424168694241,0.5637271214642263,1233.0
sad,0.43857142857142856,0.49238171611868486,0.4639214204760106,1247.0
surprise,0.7619047619047619,0.6353790613718412,0.6929133858267716,831.0
accuracy,0.5840066870994706,0.5840066870994706,0.5840066870994706,0.5840066870994706
macro avg,0.5945506788185762,0.48609209866949515,0.4870779224075993,7178.0
weighted avg,0.5861183479122064,0.5840066870994706,0.56872286988136,7178.0
